time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,0,0,0,0
2026-04-18 00:00:00+00:00,0,0,0,0
2026-04-19 00:00:00+00:00,3,3,0,0
2026-04-20 00:00:00+00:00,1,1,0,0
2026-04-21 00:00:00+00:00,0,0,0,0
2026-04-22 00:00:00+00:00,7,6,0,0
2026-04-23 00:00:00+00:00,39,27,0,0
2026-04-24 00:00:00+00:00,34,26,0,0
2026-04-25 00:00:00+00:00,188,76,37,13
2026-04-26 00:00:00+00:00,139,51,24,18
2026-04-27 00:00:00+00:00,148,52,10,5
2026-04-28 00:00:00+00:00,25,12,15,1
2026-04-29 00:00:00+00:00,4,4,9,6
2026-04-30 00:00:00+00:00,3,3,1,1
2026-05-01 00:00:00+00:00,76,24,11,4
2026-05-02 00:00:00+00:00,30,12,2,1
2026-05-03 00:00:00+00:00,39,14,1,1
2026-05-04 00:00:00+00:00,53,16,1,1
2026-05-05 00:00:00+00:00,49,12,3,1
2026-05-06 00:00:00+00:00,16,5,2,1
2026-05-07 00:00:00+00:00,28,9,1,1
2026-05-08 00:00:00+00:00,44,13,1,1
2026-05-09 00:00:00+00:00,19,9,10,5
2026-05-10 00:00:00+00:00,4,3,18,6
2026-05-11 00:00:00+00:00,11,5,9,4
2026-05-12 00:00:00+00:00,33,9,0,0
2026-05-13 00:00:00+00:00,32,8,2,2
2026-05-14 00:00:00+00:00,10,4,0,0
2026-05-15 00:00:00+00:00,28,11,3,2
2026-05-16 00:00:00+00:00,16,6,14,4
2026-05-17 00:00:00+00:00,22,10,10,3
2026-05-18 00:00:00+00:00,27,9,3,3
2026-05-19 00:00:00+00:00,16,6,8,5
2026-05-20 00:00:00+00:00,14,8,1,1
2026-05-21 00:00:00+00:00,20,10,1,1
2026-05-22 00:00:00+00:00,26,7,4,3
2026-05-23 00:00:00+00:00,17,7,9,3
2026-05-24 00:00:00+00:00,26,12,0,0
